"CELL"	"TREAT"	"TIME"	"CONTR"	"plateID"	"sample"	"RG.ratio"	"Filename"	"read"
"125"	"SH-SY5Y.tfLC3"	"DMSO"	"15"	"1"	"ecp-adgb"	"F03_S22"	1.62515413070284	"F03_S22_R1.fastq.gz"	"R1"
"126"	"SH-SY5Y.tfLC3"	"DMSO"	"15"	"1"	"ecp-adgb"	"F03_S22"	1.62515413070284	"F03_S22_R2.fastq.gz"	"R2"
"127"	"SH-SY5Y.tfLC3"	"DMSO"	"30"	"1"	"ec5-adga"	"F04_S30"	1.52912019826518	"F04_S30_R1.fastq.gz"	"R1"
"128"	"SH-SY5Y.tfLC3"	"DMSO"	"30"	"1"	"ec5-adga"	"F04_S30"	1.52912019826518	"F04_S30_R2.fastq.gz"	"R2"
"129"	"SH-SY5Y.tfLC3"	"DMSO"	"30"	"1"	"ec5-adgc"	"F05_S38"	1.54619883040936	"F05_S38_R1.fastq.gz"	"R1"
"130"	"SH-SY5Y.tfLC3"	"DMSO"	"30"	"1"	"ec5-adgc"	"F05_S38"	1.54619883040936	"F05_S38_R2.fastq.gz"	"R2"
"131"	"SH-SY5Y.tfLC3"	"AZD8055"	"1"	"0"	"ebb-adgb"	"F06_S46"	1.59558823529412	"F06_S46_R1.fastq.gz"	"R1"
"132"	"SH-SY5Y.tfLC3"	"AZD8055"	"1"	"0"	"ebb-adgb"	"F06_S46"	1.59558823529412	"F06_S46_R2.fastq.gz"	"R2"
"133"	"SH-SY5Y.tfLC3"	"DMSO"	"0"	"1"	"eca-adgb"	"F07_S54"	1.62064825930372	"F07_S54_R1.fastq.gz"	"R1"
"134"	"SH-SY5Y.tfLC3"	"DMSO"	"0"	"1"	"eca-adgb"	"F07_S54"	1.62064825930372	"F07_S54_R2.fastq.gz"	"R2"
"135"	"SH-SY5Y.tfLC3"	"DMSO"	"15"	"1"	"ecp-adga"	"F08_S62"	1.65104166666667	"F08_S62_R1.fastq.gz"	"R1"
"136"	"SH-SY5Y.tfLC3"	"DMSO"	"15"	"1"	"ecp-adga"	"F08_S62"	1.65104166666667	"F08_S62_R2.fastq.gz"	"R2"
"137"	"SH-SY5Y.tfLC3"	"DMSO"	"15"	"1"	"ecp-adgc"	"F09_S70"	1.62767295597484	"F09_S70_R1.fastq.gz"	"R1"
"138"	"SH-SY5Y.tfLC3"	"DMSO"	"15"	"1"	"ecp-adgc"	"F09_S70"	1.62767295597484	"F09_S70_R2.fastq.gz"	"R2"
"139"	"SH-SY5Y.tfLC3"	"DMSO"	"30"	"1"	"ec5-adgb"	"F10_S78"	1.54206730769231	"F10_S78_R1.fastq.gz"	"R1"
"140"	"SH-SY5Y.tfLC3"	"DMSO"	"30"	"1"	"ec5-adgb"	"F10_S78"	1.54206730769231	"F10_S78_R2.fastq.gz"	"R2"
"141"	"SH-SY5Y.tfLC3"	"AZD8055"	"1"	"0"	"ebb-adga"	"F11_S86"	1.60896637608966	"F11_S86_R1.fastq.gz"	"R1"
"142"	"SH-SY5Y.tfLC3"	"AZD8055"	"1"	"0"	"ebb-adga"	"F11_S86"	1.60896637608966	"F11_S86_R2.fastq.gz"	"R2"
"143"	"SH-SY5Y.tfLC3"	"AZD8055"	"1"	"0"	"ebb-adgc"	"F12_S94"	1.59610705596107	"F12_S94_R1.fastq.gz"	"R1"
"144"	"SH-SY5Y.tfLC3"	"AZD8055"	"1"	"0"	"ebb-adgc"	"F12_S94"	1.59610705596107	"F12_S94_R2.fastq.gz"	"R2"
"145"	"SH-SY5Y.tfLC3"	"AZD8055"	"15"	"0"	"ebp-adga"	"G01_S7"	2.91283292978208	"G01_S7_R1.fastq.gz"	"R1"
"146"	"SH-SY5Y.tfLC3"	"AZD8055"	"15"	"0"	"ebp-adga"	"G01_S7"	2.91283292978208	"G01_S7_R2.fastq.gz"	"R2"
"147"	"SH-SY5Y.tfLC3"	"AZD8055"	"15"	"0"	"ebp-adgc"	"G02_S15"	2.87323943661972	"G02_S15_R1.fastq.gz"	"R1"
"148"	"SH-SY5Y.tfLC3"	"AZD8055"	"15"	"0"	"ebp-adgc"	"G02_S15"	2.87323943661972	"G02_S15_R2.fastq.gz"	"R2"
"149"	"SH-SY5Y.tfLC3"	"AZD8055"	"30"	"0"	"eb5-adgb"	"G03_S23"	3.48924731182796	"G03_S23_R1.fastq.gz"	"R1"
"150"	"SH-SY5Y.tfLC3"	"AZD8055"	"30"	"0"	"eb5-adgb"	"G03_S23"	3.48924731182796	"G03_S23_R2.fastq.gz"	"R2"
"151"	"SH-SY5Y.tfLC3"	"DMEM"	"0"	"1"	"eea-adsb"	"G04_S31"	1.79329004329004	"G04_S31_R1.fastq.gz"	"R1"
"152"	"SH-SY5Y.tfLC3"	"DMEM"	"0"	"1"	"eea-adsb"	"G04_S31"	1.79329004329004	"G04_S31_R2.fastq.gz"	"R2"
"153"	"SH-SY5Y.tfLC3"	"DMEM"	"15"	"1"	"eep-adsa"	"G05_S39"	1.81113320079523	"G05_S39_R1.fastq.gz"	"R1"
"154"	"SH-SY5Y.tfLC3"	"DMEM"	"15"	"1"	"eep-adsa"	"G05_S39"	1.81113320079523	"G05_S39_R2.fastq.gz"	"R2"
"155"	"SH-SY5Y.tfLC3"	"DMEM"	"15"	"1"	"eep-adsc"	"G06_S47"	1.8116079923882	"G06_S47_R1.fastq.gz"	"R1"
"156"	"SH-SY5Y.tfLC3"	"DMEM"	"15"	"1"	"eep-adsc"	"G06_S47"	1.8116079923882	"G06_S47_R2.fastq.gz"	"R2"
"157"	"SH-SY5Y.tfLC3"	"AZD8055"	"15"	"0"	"ebp-adgb"	"G07_S55"	2.93516209476309	"G07_S55_R1.fastq.gz"	"R1"
"158"	"SH-SY5Y.tfLC3"	"AZD8055"	"15"	"0"	"ebp-adgb"	"G07_S55"	2.93516209476309	"G07_S55_R2.fastq.gz"	"R2"
"159"	"SH-SY5Y.tfLC3"	"AZD8055"	"30"	"0"	"eb5-adga"	"G08_S63"	3.5186170212766	"G08_S63_R1.fastq.gz"	"R1"
"160"	"SH-SY5Y.tfLC3"	"AZD8055"	"30"	"0"	"eb5-adga"	"G08_S63"	3.5186170212766	"G08_S63_R2.fastq.gz"	"R2"
"161"	"SH-SY5Y.tfLC3"	"AZD8055"	"30"	"0"	"eb5-adgc"	"G09_S71"	3.44854881266491	"G09_S71_R1.fastq.gz"	"R1"
"162"	"SH-SY5Y.tfLC3"	"AZD8055"	"30"	"0"	"eb5-adgc"	"G09_S71"	3.44854881266491	"G09_S71_R2.fastq.gz"	"R2"
